accuracy,loss,val_accuracy,val_loss
0.2916666567325592,1.2145036458969116,0.5,1.0954229831695557
0.2916666567325592,1.147172212600708,0.5,1.055022120475769
0.3229166567325592,1.0993068218231201,0.5,1.0163034200668335
0.4270833432674408,1.0498093366622925,0.6666666865348816,0.9755155444145203
0.6770833134651184,0.9963135123252869,0.7083333134651184,0.9338517189025879
0.78125,0.9390458464622498,0.75,0.8797987103462219
0.8020833134651184,0.8718085289001465,0.75,0.821430504322052
0.8333333134651184,0.7992763519287109,0.7916666865348816,0.7568070292472839
0.8333333134651184,0.723459005355835,0.7916666865348816,0.6937103867530823
0.8333333134651184,0.6509737372398376,0.7916666865348816,0.6335765719413757
0.84375,0.5824344754219055,0.7916666865348816,0.5899688601493835
0.8541666865348816,0.5240251421928406,0.8333333134651184,0.5533278584480286
0.8541666865348816,0.47437605261802673,0.8333333134651184,0.5143921375274658
0.8541666865348816,0.43521711230278015,0.8333333134651184,0.48940110206604004
0.875,0.4019825756549835,0.8333333134651184,0.46716973185539246
0.875,0.37680748105049133,0.7916666865348816,0.4518897235393524
0.8854166865348816,0.35549309849739075,0.875,0.435109943151474
0.8854166865348816,0.33506467938423157,0.875,0.4195706844329834
0.8854166865348816,0.31890034675598145,0.875,0.40762999653816223
0.8958333134651184,0.3042382597923279,0.875,0.38533973693847656
0.8958333134651184,0.2930237352848053,0.875,0.3798634111881256
0.90625,0.27965739369392395,0.875,0.36720219254493713
0.90625,0.2684359848499298,0.875,0.36247751116752625
0.9270833134651184,0.258191853761673,0.9166666865348816,0.3580438196659088
0.9166666865348816,0.24919433891773224,0.9166666865348816,0.34601545333862305
0.9375,0.24025899171829224,0.9166666865348816,0.34179428219795227
0.9270833134651184,0.23018896579742432,0.9166666865348816,0.33461418747901917
0.9375,0.22141213715076447,0.9166666865348816,0.3224938213825226
0.9375,0.21345816552639008,0.9166666865348816,0.31994909048080444
0.9375,0.2054707258939743,0.9583333134651184,0.3126427233219147
0.9375,0.19746798276901245,0.9583333134651184,0.29956570267677307
0.9375,0.1909872144460678,0.9583333134651184,0.294101744890213
0.9479166865348816,0.18408918380737305,0.9583333134651184,0.2902478873729706
0.9479166865348816,0.17724423110485077,0.9583333134651184,0.2810841500759125
0.9375,0.17056114971637726,0.9583333134651184,0.277740478515625
0.9375,0.16440801322460175,0.9583333134651184,0.27547234296798706
0.9375,0.15952862799167633,0.9583333134651184,0.2692490816116333
0.9479166865348816,0.15391099452972412,0.9583333134651184,0.275458961725235
0.9583333134651184,0.1500168889760971,0.9583333134651184,0.2517393231391907
0.9583333134651184,0.14432699978351593,0.9583333134651184,0.2491675615310669
0.9479166865348816,0.1402612030506134,0.9583333134651184,0.25179407000541687
0.9479166865348816,0.136934295296669,0.9583333134651184,0.24672622978687286
